Stim,CorrResp,imStim,CR_trials.thisRepN,CR_trials.thisTrialN,CR_trials.thisN,CR_trials.thisIndex,Instr_CR_text.started,Instr_CR_text.stopped,Instr_CR_press.keys,Instr_CR_press.rt,Instr_CR_press.started,Instr_CR_press.stopped,circle_frame.started,circle_frame.stopped,stim_image.started,stim_image.stopped,CR_key_press.keys,CR_key_press.corr,CR_key_press.rt,CR_key_press.started,CR_key_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
f,u,media/dfnb.png,6,6,54,5,,,,,,,29.575303399935365,None,29.575303399935365,None,['h'],0,[0.11350310000125319],29.575303399935365,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
b,u,media/dbnb.png,6,7,55,1,,,,,,,29.714525799965486,None,29.714525799965486,None,['i'],0,[0.10207620006985962],29.714525799965486,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
a,h,media/danb.png,7,0,56,0,,,,,,,29.854478399967775,None,29.854478399967775,None,['h'],0,[0.08205399999860674],29.854478399967775,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
e,h,media/denb.png,7,1,57,4,,,,,,,29.971205299953,None,29.971205299953,None,['i'],0,[0.0932040000334382],29.971205299953,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
g,i,media/dgnb.png,7,2,58,6,,,,,,,30.09385599999223,None,30.09385599999223,None,['h'],0,[0.09076869999989867],30.09385599999223,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
b,u,media/dbnb.png,7,3,59,1,,,,,,,30.20896969991736,None,30.20896969991736,None,['h'],0,[0.24719729996286333],30.20896969991736,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
f,u,media/dfnb.png,7,4,60,5,,,,,,,30.488495099940337,None,30.488495099940337,None,['h'],0,[0.27284889994189143],30.488495099940337,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
c,i,media/dcnb.png,7,5,61,2,,,,,,,30.78626019996591,None,30.78626019996591,None,['u'],0,[0.07906120002735406],30.78626019996591,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
d,l,media/ddnb.png,7,6,62,3,,,,,,,30.900898899999447,None,30.900898899999447,None,['h'],0,[0.1235368000343442],30.900898899999447,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
h,l,media/dhnb.png,7,7,63,7,,,,,,,31.06173299998045,None,31.06173299998045,None,['l'],0,[0.1401615000795573],31.06173299998045,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
b,u,media/dbnb.png,8,0,64,1,,,,,,,31.23531819996424,None,31.23531819996424,None,['i'],0,[0.005130400066263974],31.23531819996424,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
g,i,media/dgnb.png,8,1,65,6,,,,,,,31.280140499933623,None,31.280140499933623,None,['h'],0,[0.056735799997113645],31.280140499933623,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
d,l,media/ddnb.png,8,2,66,3,,,,,,,31.363560599973425,None,31.363560599973425,None,['u'],0,[0.16589250008109957],31.363560599973425,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
e,h,media/denb.png,8,3,67,4,,,,,,,31.555387299973518,None,31.555387299973518,None,['i'],0,[0.021193500026129186],31.555387299973518,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
c,i,media/dcnb.png,8,4,68,2,,,,,,,31.602210099925287,None,31.602210099925287,None,['h'],0,[0.061995399999432266],31.602210099925287,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
f,u,media/dfnb.png,8,5,69,5,,,,,,,31.707867400022224,None,31.707867400022224,None,['u'],0,[0.12507569999434054],31.707867400022224,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
h,l,media/dhnb.png,8,6,70,7,,,,,,,31.871703199925832,None,31.871703199925832,None,['h'],0,[0.08154519996605814],31.871703199925832,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
a,h,media/danb.png,8,7,71,0,,,,,,,31.995451899943873,None,31.995451899943873,None,"['u', 'i']",0,"[0.10114949999842793, 0.11734569992404431]",31.995451899943873,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
g,i,media/dgnb.png,9,0,72,6,,,,,,,32.14511169993784,None,32.14511169993784,None,['h'],0,[0.07150809990707785],32.14511169993784,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
h,l,media/dhnb.png,9,1,73,7,,,,,,,32.25778939994052,None,32.25778939994052,None,['u'],0,[0.0866316999308765],32.25778939994052,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
c,i,media/dcnb.png,9,2,74,2,,,,,,,32.37933769996744,None,32.37933769996744,None,['h'],0,[0.08494820003397763],32.37933769996744,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
a,h,media/danb.png,9,3,75,0,,,,,,,32.51408639992587,None,32.51408639992587,None,"['i', 'l']",0,"[0.11117039993405342, 0.1264579000417143]",32.51408639992587,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
d,l,media/ddnb.png,9,4,76,3,,,,,,,32.67674539994914,None,32.67674539994914,None,['h'],0,[0.051578299957327545],32.67674539994914,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
e,h,media/denb.png,9,5,77,4,,,,,,,32.76420169998892,None,32.76420169998892,None,"['u', 'i']",0,"[0.08449549996294081, 0.10815750004258007]",32.76420169998892,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
b,u,media/dbnb.png,9,6,78,1,,,,,,,32.89684329996817,None,32.89684329996817,None,['h'],0,[0.07941280002705753],32.89684329996817,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
f,u,media/dfnb.png,9,7,79,5,,,,,,,33.01367619994562,None,33.01367619994562,None,['h'],0,[1.0584410999435931],33.01367619994562,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
